CustomerID,recence_jours,frequence,montant_total,cluster,profil
12346,326,12,77556.46,3,Clients VIP / fidèles
12347,2,8,4921.53,3,Clients VIP / fidèles
12348,75,5,1658.3999999999999,0,Clients VIP / fidèles
12349,19,3,3678.69,0,Clients VIP / fidèles
12350,310,1,294.4,1,Clients perdus / inactifs
12351,375,1,300.93,1,Clients perdus / inactifs
12352,36,9,1729.54,0,Clients VIP / fidèles
12353,204,2,406.76,2,Clients perdus / inactifs
12354,232,1,1079.4,2,Clients perdus / inactifs
12355,214,2,947.61,2,Clients perdus / inactifs
12356,23,6,5611.73,0,Clients VIP / fidèles
12357,33,2,17437.66,0,Clients VIP / fidèles
12358,2,5,3447.07,0,Clients VIP / fidèles
12359,58,10,8873.39,3,Clients VIP / fidèles
12360,52,6,3612.89,0,Clients VIP / fidèles
12361,287,4,451.25,2,Clients perdus / inactifs
12362,3,10,4737.23,3,Clients VIP / fidèles
12363,110,2,552.0,2,Clients perdus / inactifs
12364,8,4,1208.1,0,Clients VIP / fidèles
12365,291,1,320.69,2,Clients perdus / inactifs
12366,634,1,500.24,1,Clients perdus / inactifs
12367,4,1,150.9,2,Clients perdus / inactifs
12368,628,1,917.6999999999999,1,Clients perdus / inactifs
12369,413,3,1511.15,1,Clients perdus / inactifs
12370,51,7,3956.56,0,Clients VIP / fidèles
12371,60,4,3347.38,0,Clients VIP / fidèles
12372,72,3,1196.04,0,Clients VIP / fidèles
12373,311,3,927.6500000000001,0,Clients VIP / fidèles
12374,25,3,2669.22,0,Clients VIP / fidèles
12375,11,2,377.5,2,Clients perdus / inactifs
12376,390,2,383.15,1,Clients perdus / inactifs
12377,315,4,3266.32,0,Clients VIP / fidèles
12378,130,2,5416.32,0,Clients VIP / fidèles
12379,82,4,1470.22,0,Clients VIP / fidèles
12380,22,8,7210.65,3,Clients VIP / fidèles
12381,5,3,1474.81,0,Clients VIP / fidèles
12383,185,5,1628.56,0,Clients VIP / fidèles
12384,29,2,425.27000000000004,2,Clients perdus / inactifs
12385,379,1,1668.4,1,Clients perdus / inactifs
12386,338,2,401.9,1,Clients perdus / inactifs
